sample_id,t,rot_err_deg,error_type
sample_0015,5,79.72548978428216,cumulative
sample_0015,6,91.57673915389728,cumulative
sample_0016,1,7.753400747246639,relative
sample_0016,2,8.151299786326339,relative
sample_0016,3,10.154057787115564,relative
sample_0016,4,13.61800172130892,relative
sample_0016,5,12.35181393907362,relative
sample_0016,6,8.972836174000438,relative
sample_0016,0,0.0,cumulative
sample_0016,1,7.753400747246639,cumulative
sample_0016,2,15.777752714769717,cumulative
sample_0016,3,25.933915718230423,cumulative
sample_0016,4,39.472541190917866,cumulative
sample_0016,5,51.67727493000211,cumulative
sample_0016,6,60.61276924628811,cumulative
sample_0017,1,2.808148880889434,relative
sample_0017,2,3.789717432022163,relative
sample_0017,3,1.5478029789311873,relative
sample_0017,4,1.4408599769997545,relative
sample_0017,5,0.5061782982163862,relative
sample_0017,6,0.938649233767459,relative
sample_0017,0,0.0,cumulative
sample_0017,1,2.808148880889434,cumulative
sample_0017,2,6.590565567400533,cumulative
sample_0017,3,7.967629969818348,cumulative
sample_0017,4,9.018673827874828,cumulative
sample_0017,5,9.42351554972455,cumulative
sample_0017,6,10.082822202979688,cumulative
sample_0018,1,6.4721261694451995,relative
sample_0018,2,7.819069475734266,relative
sample_0018,3,7.299315779969078,relative
sample_0018,4,9.977889387885964,relative
sample_0018,5,14.589687991511123,relative
sample_0018,6,12.610703980406702,relative
sample_0018,0,0.019782341029446364,cumulative
sample_0018,1,6.4721261694451995,cumulative
sample_0018,2,14.273960219266614,cumulative
sample_0018,3,21.57312515892325,cumulative
sample_0018,4,31.53463879169083,cumulative
sample_0018,5,46.09590811953802,cumulative
sample_0018,6,58.695296496250776,cumulative
sample_0019,1,5.208034984488079,relative
sample_0019,2,2.330103663805391,relative
sample_0019,3,2.7660955820512507,relative
sample_0019,4,4.813695710538421,relative
sample_0019,5,8.748617885987082,relative
sample_0019,6,13.749971399484645,relative
sample_0019,0,0.019782341029446364,cumulative
sample_0019,1,5.208034984488079,cumulative
sample_0019,2,7.499346206744547,cumulative
sample_0019,3,10.256955518401499,cumulative
sample_0019,4,14.93203007036618,cumulative
sample_0019,5,23.589381591642056,cumulative
sample_0019,6,37.280213181801415,cumulative
sample_0020,1,31.810555330473925,relative
sample_0020,2,29.83176775111114,relative
sample_0020,3,20.46026597921958,relative
sample_0020,4,10.641309631411083,relative
sample_0020,5,3.665797439763315,relative
sample_0020,6,1.2081872012854085,relative
sample_0020,0,0.0,cumulative
sample_0020,1,31.810555330473925,cumulative
sample_0020,2,61.63983739301992,cumulative
sample_0020,3,82.08035574694784,cumulative
sample_0020,4,92.70551451938063,cumulative
sample_0020,5,96.2746799249316,cumulative
sample_0020,6,95.55805319971608,cumulative
sample_0021,1,6.144375748250665,relative
sample_0021,2,4.142380240772069,relative
sample_0021,3,2.5194871327982837,relative
sample_0021,4,5.136873846337977,relative
sample_0021,5,5.715199600170649,relative
sample_0021,6,2.7015032672814487,relative
sample_0021,0,0.0,cumulative
sample_0021,1,6.144375748250665,cumulative
sample_0021,2,10.245582365322177,cumulative
sample_0021,3,12.190099714046289,cumulative
sample_0021,4,14.372758073074811,cumulative
sample_0021,5,17.97823350012436,cumulative
sample_0021,6,19.68307706099555,cumulative
sample_0022,1,5.759514443772852,relative
sample_0022,2,3.7453640149668943,relative
sample_0022,3,2.7210441965774352,relative
sample_0022,4,1.4742946016265162,relative
sample_0022,5,1.5862623600931032,relative
sample_0022,6,1.5901181091523326,relative
sample_0022,0,0.0,cumulative
sample_0022,1,5.759514443772852,cumulative
sample_0022,2,9.46895663170391,cumulative
sample_0022,3,12.176062338351896,cumulative
sample_0022,4,13.467522465748413,cumulative
sample_0022,5,14.973560248656668,cumulative
sample_0022,6,16.31333976932355,cumulative
sample_0023,1,3.708317685617844,relative
sample_0023,2,1.133660187008901,relative
sample_0023,3,0.9613830308741078,relative
sample_0023,4,5.715657594691332,relative
sample_0023,5,10.450563002759678,relative
sample_0023,6,12.10543509067792,relative
sample_0023,0,0.019782341029446364,cumulative
sample_0023,1,3.708317685617844,cumulative
sample_0023,2,4.788822502515211,cumulative
sample_0023,3,5.717379664114297,cumulative
sample_0023,4,11.36259423203685,cumulative
sample_0023,5,21.784158627440824,cumulative
sample_0023,6,33.85894928301241,cumulative
sample_0024,1,4.612937150678775,relative
sample_0024,2,0.47096832395111055,relative
sample_0024,3,2.888788094938938,relative
sample_0024,4,2.7676937371861263,relative
sample_0024,5,2.1686700340736302,relative
sample_0024,6,3.9717376455346973,relative
sample_0024,0,0.0,cumulative
sample_0024,1,4.612937150678775,cumulative
sample_0024,2,4.580852299184217,cumulative
sample_0024,3,2.1181628069622893,cumulative
sample_0024,4,2.0738363937212085,cumulative
sample_0024,5,3.906826257979532,cumulative
sample_0024,6,7.620086465188329,cumulative
sample_0025,1,0.16737071038610543,relative
sample_0025,2,0.13264339014505253,relative
sample_0025,3,0.12580245235997656,relative
sample_0025,4,0.0513425168423049,relative
sample_0025,5,0.03448298220524356,relative
sample_0025,6,0.18347576756156342,relative
sample_0025,0,0.0,cumulative
sample_0025,1,0.16737071038610543,cumulative
sample_0025,2,0.2829519468021129,cumulative
sample_0025,3,0.39478977975893625,cumulative
sample_0025,4,0.3967068718369485,cumulative
sample_0025,5,0.3771274523769062,cumulative
sample_0025,6,0.37077595355253407,cumulative
sample_0026,1,0.061216071559107216,relative
sample_0026,2,0.11108103101781883,relative
sample_0026,3,0.05131889888536552,relative
sample_0026,4,0.2410750761193667,relative
sample_0026,5,0.4752462325797224,relative
sample_0026,6,0.0,relative
sample_0026,0,0.013988227454926254,cumulative
sample_0026,1,0.061216071559107216,cumulative
sample_0026,2,0.08787792909488663,cumulative
sample_0026,3,0.09661042035335679,cumulative
sample_0026,4,0.34008999518959143,cumulative
sample_0026,5,0.6313511062359122,cumulative
sample_0026,6,0.7549893765070548,cumulative
sample_0027,1,0.18100783169405305,relative
sample_0027,2,0.14500762261694877,relative
sample_0027,3,0.1174056035958767,relative
sample_0027,4,0.11526146084585408,relative
sample_0027,5,0.1851547010927319,relative
sample_0027,6,0.17606750216097705,relative
sample_0027,0,0.0,cumulative
sample_0027,1,0.18100783169405305,cumulative
sample_0027,2,0.3167042252746759,cumulative
sample_0027,3,0.4034439253993163,cumulative
sample_0027,4,0.4602726558259585,cumulative
sample_0027,5,0.6176108989602795,cumulative
sample_0027,6,0.7450588972523712,cumulative
sample_0028,1,0.2139914878993689,relative
sample_0028,2,0.2816909348289032,relative
sample_0028,3,0.23516618778664572,relative
sample_0028,4,0.2408337950178627,relative
sample_0028,5,0.1600011535959388,relative
sample_0028,6,0.29253603213384577,relative
sample_0028,0,0.0,cumulative
sample_0028,1,0.2139914878993689,cumulative
sample_0028,2,0.4249254840645885,cumulative
sample_0028,3,0.6332710005370095,cumulative
sample_0028,4,0.5956084483200094,cumulative
sample_0028,5,0.590433996328258,cumulative
sample_0028,6,0.7329644003124934,cumulative
sample_0029,1,0.9348981798048913,relative
sample_0029,2,1.1946314981024808,relative
sample_0029,3,1.2669287610982807,relative
sample_0029,4,1.4682046192858171,relative
sample_0029,5,2.02268512494176,relative
sample_0029,6,2.5038027380856582,relative
sample_0029,0,0.0,cumulative
sample_0029,1,0.9348981798048913,cumulative
sample_0029,2,2.1259583094928587,cumulative
sample_0029,3,3.3734536006305933,cumulative
sample_0029,4,4.825966943689904,cumulative
sample_0029,5,6.794045137894133,cumulative
sample_0029,6,9.287994987655901,cumulative
sample_0030,1,0.37338717537469934,relative
sample_0030,2,0.0,relative
sample_0030,3,0.6498650061810226,relative
sample_0030,4,0.0,relative
sample_0030,5,1.2357654846776969,relative
sample_0030,6,0.0,relative
sample_0030,0,0.0,cumulative
sample_0030,1,0.37338717537469934,cumulative
sample_0030,2,0.0,cumulative
sample_0030,3,0.5709727293216161,cumulative
sample_0030,4,0.0,cumulative
sample_0030,5,1.124036195793345,cumulative
sample_0030,6,0.8368068428228003,cumulative
sample_0031,1,0.2791442712129026,relative
sample_0031,2,0.19723908705426743,relative
sample_0031,3,0.25866201003693556,relative
sample_0031,4,0.0,relative
sample_0031,5,0.26654395698750816,relative
sample_0031,6,0.15005405461910087,relative
sample_0031,0,0.0,cumulative
sample_0031,1,0.2791442712129026,cumulative
sample_0031,2,0.45336359964682693,cumulative
sample_0031,3,0.6553512306325859,cumulative
sample_0031,4,0.772272028932176,cumulative
sample_0031,5,0.876353694572084,cumulative
sample_0031,6,0.9312460046720267,cumulative
sample_0032,1,0.06506331898698223,relative
sample_0032,2,0.08444196908422909,relative
sample_0032,3,0.040384962713517325,relative
sample_0032,4,0.22222753980738486,relative
sample_0032,5,0.0,relative
sample_0032,6,0.3499828550088922,relative
sample_0032,0,0.0,cumulative
sample_0032,1,0.06506331898698223,cumulative
sample_0032,2,0.022449268955376706,cumulative
sample_0032,3,0.02198957220410747,cumulative
sample_0032,4,0.22987646247873536,cumulative
sample_0032,5,0.20545341588133567,cumulative
sample_0032,6,0.38512664966632826,cumulative
sample_0033,1,0.21138124335066052,relative
sample_0033,2,0.4934825843699975,relative
sample_0033,3,0.7683096972252044,relative
sample_0033,4,0.0,relative
sample_0033,5,1.4485807259905907,relative
sample_0033,6,0.0,relative
sample_0033,0,0.013988227454926254,cumulative
sample_0033,1,0.21138124335066052,cumulative
sample_0033,2,0.5695341752140525,cumulative
sample_0033,3,0.9415587400395773,cumulative
sample_0033,4,0.6580904397164149,cumulative
sample_0033,5,1.7710958135176158,cumulative
sample_0033,6,1.2407760450854883,cumulative
sample_0034,1,0.18199428727333888,relative
sample_0034,2,0.23074527035189402,relative
sample_0034,3,0.3599129400466788,relative
sample_0034,4,0.2452576916796248,relative
sample_0034,5,0.0,relative
sample_0034,6,0.4838561753186443,relative
sample_0034,0,0.0,cumulative
sample_0034,1,0.18199428727333888,cumulative
sample_0034,2,0.3871475427482032,cumulative
sample_0034,3,0.6754940840151739,cumulative
sample_0034,4,0.8307578392945992,cumulative
sample_0034,5,0.8150556644948507,cumulative
sample_0034,6,1.1064079883469258,cumulative
